id,display_name,scientific_name,status,category,media_url,image_name,bio
1,"Koala","Phascolarctos cinereus","Vulnerable","mammal","","","Koalas are agile climbers with sharp claws. Their diet is almost entirely eucalypt leaves. They sleep most of the day and are active for about four hours at night. Koalas are mostly solitary but can be seen in large groups where densities are high."
2,"Humpback Whale","Megaptera novaeangliae","Vulnerable","mammal","","","Humpback Whales migrate to warmer Australian waters in Hervey Bay and the Great Barrier Reef to breed in winter months. They feed on plankton."
3,"Australian Fur-seal","Arctocephalus pusillus","Near Threatened","mammal","","","Australian Fur Seals change their diet from season to season, eating squid, octopus and fish. Killer Whales and White Sharks are probably their main predators."
4,"Swamp Wallaby","Wallabia bicolor","Endangered","mammal","","","Swamp Wallabies feed on the leaves of shrubs, ferns and grasses. They are active during the day, but are shy and usually solitary."
5,"Platypus","Ornithorhynchus anatinus","Endangered","mammal","","","Platypus use sensory organs in their bill to detect prey, which includes larval mayflies, caddisflies and small molluscs. The Platypus is one of the only mammals to lay eggs instead of giving birth to live young. Females lay two eggs in a nursery burrow, which then take two weeks to hatch."
6,"Red Kangaroo","Macropus rufus","Least Concern","mammal","","","Red Kangaroos are the world's largest living marsupial, but at birth, like all Kangaroos, they are only about the size of jelly beans and not very developed. Breeding does not occur in times of drought. Red Kangaroos are active from dusk until dawn in small groups, but often feed in larger groups (mobs). They are considered pests by some farmers because they compete with stock for grass."
7,"Southern Hairy-nosed Wombat","Lasiorhinus latifrons","Endangered","mammal","","","Hairy-nosed wombats are social animals that live in small colonies in burrow systems (warrens), usually dug in limestone or calcrete. Wombats are primarily nocturnal but sometimes venture out on warm days in winter and spring. When startled they can reach speeds of up to 40 km per hour. Young are born in late winter and spring after a pregnancy of about 22 days and occupy a backward-facing pouch. Sexual maturity is not until about 3 years of age and animals can live for more than 15 years."
8,"Sugar Glider","Petaurus breviceps breviceps","Near Threatened","mammal","","","Sugar Gliders can glide for 50 m between trees. They have a distinctive 'yip yip' call that sounds like the yapping of a small dog. Young are carried on the mother's back until they are able to care for themselves. Sugar Gliders feed on gums, nectar, pollen and invertebrates."
9,"Black Flying-fox","Pteropus alecto","Least Concern","mammal","","","The Black Flying-fox is a migratory species that roosts in large numbers high in the tree canopy during the day. At dusk, individuals fly out to feed on blossom and fruits, and return to their roost at dawn. Mating occurs in March to April when large males establish a territory on a branch. They congregate into large camps during spring and summer, when birthing occurs."
10,"Tasmanian Devil","Sarcophilus harrisii","Endangered","mammal","","","Devils can roam large distances in search of food. Mainly a scavenger with a very varied diet, they will eat almost anything they come across. Its powerful jaws allow it to consume its prey entirely - bones and fur. They can often be heard screaming and squabbling over carcasses, the noise and display being part of the animal’s social hierarchy. The Devil is the largest extant carnivorous marsupial and fossil evidence suggests they used to be found across the Australian mainland. Devil numbers have been in serious decline due to the Devil Facial Tumour Disease."
11,"Quokka","Setonix brachyurus","Vulnerable","mammal","","","Quokkas are secretive and rare on the Mainland of south-west WA and their population and distribution has suffered serious declines since European settlement in WA. On Rottnest and Bald Island their populations are large and healthy. Mostly nocturnal, though they can be seen during the day on Rottnest Island. Browses and grazes on a variety of plant matter."
12,"Dugong","Dugong dugon","Endangered","mammal","","","May occur in herds when feeding. Long lived (up to 70 years) and does not breed until at least 6 years old. Males fight each other to mate with females and breeding only occurs every few years (can be an interval up to 7 years)."
13,"Mahogany Glider","Petaurus gracilis","Endangered","mammal","","","Relatively new to science, very little is known about the natural ecology and behaviour of the mahogany glider. These nocturnal animals are arboreal and can glide between the treetops for distances of up to 60 m by stretching out their membrane. Individuals are mainly solitary, spending the day asleep in tree hollows and the nights foraging within their home range, which may be up to 23 hectares in size. These gliders feed on exudates such as the sap and gum of eucalypt and acacia trees, and also take gum from the floral spears of grass trees. Nectar, pollen and even insects and spiders also make up an important part of the diet."
14,"Brush-tailed Rock-wallaby","Petrogale penicillata","Endangered","mammal","","","A social species typically living in small colonies in steep and rocky terrain. They are highly agile and also ascend trees. Daylight hours are usually spent in a specific rocky shelter, which they defend. Towards evening they emerge to sun themselves and feed on grasses. Seeds, fruit and flowers will also be eaten. Now rare, having disappeared from many sites especially in the west and south of its distribution. Due to an escape of a pair in 1916, a small breeding population of the brush-tailed rock-wallabies also exists on the island of Oahu in Hawaii."
15,"Eastern Quoll","Dasyurus viverrinus","Endangered","mammal","","","Eastern Quolls are solitary and mainly nocturnal, scavenging and hunting at night and sleeping during the day in grass-lined dens in burrows or under fallen logs. They are widespread in Tasmania, but only a small number have been sighted on the Australian mainland in the last 50 years. They feed mostly on insects, but will take small mammals or birds as prey and occasionally eat fruit."
16,"Common Wombat","Vombatus ursinus","Near Threatened","mammal","","","Common Wombats dig burrows with their sharp claws and powerful short limbs. In winter, females give birth to a single young. Their teeth grow in response to wear. They occasionally enter people's tents at campsites looking for food."
