id,display_name,scientific_name,status,category,media_url,image_name,bio
1,Koala,Phascolarctos cinereus,Vulnerable,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=83464e70-6bf0-4552-88f1-4a606064dd8b,0000000001.png,Koalas are agile climbers with sharp claws. Their diet is almost entirely eucalypt leaves. They sleep most of the day and are active for about four hours at night. Koalas are mostly solitary but can be seen in large groups where densities are high.
2,Humpback Whale,Megaptera novaeangliae,Vulnerable,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=a6c2ebeb-6444-49c4-bd46-0460c0b5b0d2,,Humpback Whales migrate to warmer Australian waters in Hervey Bay and the Great Barrier Reef to breed in winter months. They feed on plankton.
3,Australian Fur-seal,Arctocephalus pusillus,Near Threatened,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=511baeb3-d5b9-421e-9bc1-135846be9d81,,"Australian Fur Seals change their diet from season to season, eating squid, octopus and fish. Killer Whales and White Sharks are probably their main predators."
4,Swamp Wallaby,Wallabia bicolor,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=175fbdc0-b64f-4bc4-8fe8-daee49c2b82c,,"Swamp Wallabies feed on the leaves of shrubs, ferns and grasses. They are active during the day, but are shy and usually solitary."
5,Platypus,Ornithorhynchus anatinus,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=fb4549ef-ab78-422a-9913-13c681cc2cce,,"Platypus use sensory organs in their bill to detect prey, which includes larval mayflies, caddisflies and small molluscs. The Platypus is one of the only mammals to lay eggs instead of giving birth to live young. Females lay two eggs in a nursery burrow, which then take two weeks to hatch."
6,Red Kangaroo,Macropus rufus,Least Concern,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=0cb7bd35-b558-4596-83d1-8ffe54b27f93,0000000006.png,"Red Kangaroos are the world's largest living marsupial, but at birth, like all Kangaroos, they are only about the size of jelly beans and not very developed. Breeding does not occur in times of drought. Red Kangaroos are active from dusk until dawn in small groups, but often feed in larger groups (mobs). They are considered pests by some farmers because they compete with stock for grass."
7,Southern Hairy-nosed Wombat,Lasiorhinus latifrons,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=cddc295f-1f61-411f-a9a8-728f6cda31ce,,"Hairy-nosed wombats are social animals that live in small colonies in burrow systems (warrens), usually dug in limestone or calcrete. Wombats are primarily nocturnal but sometimes venture out on warm days in winter and spring. When startled they can reach speeds of up to 40 km per hour. Young are born in late winter and spring after a pregnancy of about 22 days and occupy a backward-facing pouch. Sexual maturity is not until about 3 years of age and animals can live for more than 15 years."
8,Sugar Glider,Petaurus breviceps breviceps,Near Threatened,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=82a1e235-d985-406c-8aa5-243bcde1e931,,"Sugar Gliders can glide for 50 m between trees. They have a distinctive 'yip yip' call that sounds like the yapping of a small dog. Young are carried on the mother's back until they are able to care for themselves. Sugar Gliders feed on gums, nectar, pollen and invertebrates."
9,Black Flying-fox,Pteropus alecto,Least Concern,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=0e7cf627-1bbf-4ddd-8033-c1d4d1bdf9d6,,"The Black Flying-fox is a migratory species that roosts in large numbers high in the tree canopy during the day. At dusk, individuals fly out to feed on blossom and fruits, and return to their roost at dawn. Mating occurs in March to April when large males establish a territory on a branch. They congregate into large camps during spring and summer, when birthing occurs."
10,Tasmanian Devil,Sarcophilus harrisii,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=576adc28-38c7-4fa2-8927-cd675b8487ea,,"Devils can roam large distances in search of food. Mainly a scavenger with a very varied diet, they will eat almost anything they come across. Its powerful jaws allow it to consume its prey entirely - bones and fur. They can often be heard screaming and squabbling over carcasses, the noise and display being part of the animal‰Ûªs social hierarchy. The Devil is the largest extant carnivorous marsupial and fossil evidence suggests they used to be found across the Australian mainland. Devil numbers have been in serious decline due to the Devil Facial Tumour Disease."
