id,name,description,media_url,image_name,longitude,latitude,category
11362,Robinia,Good,,,144.3493358,-38.13928798,Tree
11362,Yellow Gum,Good,,,144.322019,-38.19806303,Tree
11362,Red Ironbark,Good,,,144.3224918,-38.19779008,Tree
11362,Brittle Gum,Good,,,144.3223017,-38.19772466,Tree
11362,Peppercorn Tree,Good,,,144.3220715,-38.19779499,Tree
11362,Red Flowering Gum,Good,,,144.3219184,-38.19786973,Tree
11362,Tea Tree,Good,,,144.3215813,-38.19718392,Tree
11362,Honey Myrtle,Fair,,,144.3804546,-38.15104164,Tree
11362,Black Poplar,Good,,,144.3539341,-38.16034149,Tree
11362,English Elm,Good,,,144.3537122,-38.16010402,Tree
11362,Bracelet Honey Myrtle,Good,,,144.3534037,-38.15916057,Tree
11362,Brush Box,Good,,,144.3533701,-38.15990443,Tree
11362,Willow Myrtle,Good,,,144.3537168,-38.15966829,Tree
11362,Silver Wattle,Good,,,144.3536862,-38.15957892,Tree
11362,Spotted Gum,Good,,,144.3530682,-38.15910344,Tree
11362,Silver Banksia,Good,,,144.353256,-38.15918492,Tree
11362,Sugar Gum,Good,,,144.3534771,-38.15924902,Tree
11362,Swamp Mallet,Good,,,144.3532338,-38.15910658,Tree
11362,Bottlebrush,Good,,,144.3531709,-38.15907297,Tree
11362,Willow-Leaved Hakea,Good,,,144.353315,-38.15902413,Tree
11362,English Oak,Good,,,144.3534257,-38.15896941,Tree
11362,Prickly Leafed Paperbark,Good,,,144.3532181,-38.15896569,Tree
11362,Drooping She Oak,Good,,,144.3531412,-38.15956031,Tree
11362,Desert Ash,Good,,,144.3530622,-38.15971444,Tree
11362,Lightwood,Good,,,144.3523854,-38.15981919,Tree
11362,Red Botlebrush,Good,,,144.3507852,-38.09276127,Tree
11362,Italian Cypress,Good,,,144.3507363,-38.09300476,Tree
11362,Photinia,Good,,,144.3490604,-38.09065967,Tree
11362,Golden Ash,Fair,,,144.3491082,-38.09071844,Tree
11362,River Red Gum,Good,,,144.3490276,-38.09090045,Tree
11362,Manchurian Pear,Good,,,144.3492714,-38.09082538,Tree
11362,Silver Princess,Good,,,144.3492001,-38.09112937,Tree
11362,Queensland Box,Good,,,144.4694153,-38.18716119,Tree
11362,Dutch Elm,Good,,,144.4692714,-38.18723437,Tree
11362,Crab Apple,Good,,,144.469455,-38.18730604,Tree
11362,Weeping Bottle Brush,Good,,,144.4694768,-38.18733893,Tree
11362,Narrow Leafed Ash,Fair,,,144.3946855,-38.02181037,Tree
11362,Fruit Tree,Fair,,,144.3942121,-38.02182467,Tree
11362,Red Maple,Good,,,144.3330206,-38.09169285,Tree
11362,Upright Flowering Pear,Good,,,144.332385,-38.09130052,Tree
11362,New Zealand Christmas Tree,Good,,,144.3598186,-38.09099713,Tree
11362,Cherry Plum,Good,,,144.351114,-38.07315803,Tree
11362,Lavender,Good,,,144.3512023,-38.07316867,Tree
11362,Sweet Pittosporum,Good,,,144.3512825,-38.07312724,Tree
11362,River Sheaok,Good,,,144.3517199,-38.0732306,Tree
11362,Camphor Laurel,Good,,,144.3548991,-38.07358975,Tree
