id,latitude,longitude
36,-37.82166846,144.9688362
36,-37.82166946,144.9688362
23,-37.82181246,144.9683378
9,-37.82128063,144.9684696
14,-37.83524295,144.9811422
26,-37.81072571,144.9723266
9,-37.81600147,144.9679167
20,-37.8271768,144.9669368
23,-37.82426618,144.9681744
14,-37.8199901,144.9679921
3,-37.81495435,144.9673225
9,-37.79765899,144.9687501
11,-37.81099756,144.9695202
2,-37.81020539,144.9701331
23,-37.7991305,144.9676695
15,-37.81648541,144.9693866
28,-37.80343156,144.9706399
26,-37.81188478,144.9624226
13,-37.81015764,144.9681682
14,-37.81697414,144.954862
5,-37.81012812,144.9524686
35,-37.80316637,144.9537615
33,-37.80523073,144.9669864
10,-37.81044788,144.9598733
11,-37.81045241,144.9638892
34,-37.81456878,144.9685511
12,-37.81438513,144.969174
19,-37.80880647,144.9782591
15,-37.80970867,144.9752592
11,-37.81097571,144.9757295
27,-37.81406671,144.9831973
28,-37.82093997,144.9671211
22,-37.80355385,144.9476715
39,-37.81144878,144.9846649
11,-37.79591553,144.9689811
15,-37.80257665,144.9693347
32,-37.79405127,144.9453995
21,-37.79630846,144.9443135
12,-37.79421695,144.9416145
39,-37.79321095,144.9272957
18,-37.79480874,144.9283621
15,-37.81470119,144.9680725
16,-37.83530769,144.9768091
2,-37.84074736,144.985627
15,-37.83862705,144.9860094
36,-37.8101141,144.9759015
16,-37.8169549,144.9676816
28,-37.80911373,144.9742219
7,-37.785786,144.947581
34,-37.78408644,144.9619678
26,-37.78343039,144.9619826
16,-37.79080826,144.912143
34,-37.81949216,144.9834029
14,-37.82472527,144.983803
4,-37.82204561,144.9784872
9,-37.8209086,144.9787358
28,-37.82132521,144.9775911
3,-37.82311,144.9818348
10,-37.799947,144.9432908
13,-37.80715854,144.9631898
22,-37.82424569,144.9797203
21,-37.81617605,144.9474963
26,-37.78191713,144.9563091
18,-37.82928449,144.9134158
4,-37.80977064,144.973484
16,-37.82594145,144.9718568
29,-37.79155022,144.9580865
21,-37.8253098,144.9715943
6,-37.78256132,144.9532939
39,-37.81957057,144.9718244
35,-37.78892812,144.9560581
20,-37.79825783,144.9705646
25,-37.83237746,144.9729343
23,-37.78528747,144.96619
5,-37.82007938,144.9629605
29,-37.81642363,144.9670615
6,-37.82511478,144.9760762
12,-37.81372574,144.9726154
23,-37.81369576,144.968513
22,-37.81280965,144.9817359
7,-37.8263011,144.9728189
13,-37.81438929,144.9799102
20,-37.81295407,144.9652649
6,-37.81367295,144.9743449
13,-37.81304936,144.968211
1,-37.81243425,144.9739555
18,-37.82240515,144.9706435
36,-37.81430678,144.9784994
26,-37.82175927,144.9747726
33,-37.80725189,144.9592306
28,-37.83028191,144.9743398
15,-37.80334182,144.9497392
37,-37.80747038,144.9685933
8,-37.81340997,144.9811022
25,-37.81575629,144.9668104
37,-37.81041672,144.9808824
4,-37.80569577,144.907291
32,-37.81767706,144.9599953
28,-37.813842,144.9827587
33,-37.81712235,144.9452797
20,-37.80474431,144.9724521
1,-37.80580965,144.9725288
