id,name,description,media_url,image_name,latitude,longitude,category
1,FairFax Studio,Theatre Live,,,-37.82166846,144.9688362,Theatres and Cinemas
2,Playhouse,Theatre Live,,,-37.82181246,144.9683378,Theatres and Cinemas
3,State Theatre,Theatre Live,,,-37.82128063,144.9684696,Theatres and Cinemas
4,St Martins Youth Arts Centre,Theatre Live,,,-37.83524295,144.9811422,Theatres and Cinemas
5,Princess Theatre,Theatre Live,,,-37.81072571,144.9723266,Theatres and Cinemas
6,Regent Theatre,Theatre Live,,,-37.81600147,144.9679167,Theatres and Cinemas
7,Malthouse Theatre,Theatre Live,,,-37.8271768,144.9669368,Theatres and Cinemas
8,MTC Theatre,Theatre Live,,,-37.82426618,144.9681744,Theatres and Cinemas
9,Hamer Hall,Theatre Live,,,-37.8199901,144.9679921,Theatres and Cinemas
10,Athanaeum Theatre,Theatre Live,,,-37.81495435,144.9673225,Theatres and Cinemas
11,Carlton Courthouse Theatre,Theatre Live,,,-37.79765899,144.9687501,Theatres and Cinemas
12,Her Majesty's Theatre,Theatre Live,,,-37.81099756,144.9695202,Theatres and Cinemas
13,Comedy Theatre,Theatre Live,,,-37.81020539,144.9701331,Theatres and Cinemas
14,La Mama Theatre,Theatre Live,,,-37.7991305,144.9676695,Theatres and Cinemas
15,Forum Theatre,Theatre Live,,,-37.81648541,144.9693866,Theatres and Cinemas
16,IMAX Melbourne,Cinema,,,-37.80343156,144.9706399,Theatres and Cinemas
17,St Francis Church,Church,,,-37.81188478,144.9624226,Places of Worship
18,Wesley Church,Church,,,-37.81015764,144.9681682,Places of Worship
19,St Augustines Church,Church,,,-37.81697414,144.954862,Places of Worship
20,St James Church,Church,,,-37.81012812,144.9524686,Places of Worship
21,St Mary's Anglican Church,Church,,,-37.80316637,144.9537615,Places of Worship
22,Romanian Orthodox,Church,,,-37.80523073,144.9669864,Places of Worship
23,Welsh Presbyterian Church,Church,,,-37.81044788,144.9598733,Places of Worship
24,Church of Christ,Church,,,-37.81045241,144.9638892,Places of Worship
25,Scots Church,Church,,,-37.81456878,144.9685511,Places of Worship
26,St Michael's Uniting Church,Church,,,-37.81438513,144.969174,Places of Worship
27,Greek Orthodox Church,Church,,,-37.80880647,144.9782591,Places of Worship
28,St Peter's Eastern Hill,Church,,,-37.80970867,144.9752592,Places of Worship
29,Lutheran Trinity Church,Church,,,-37.81097571,144.9757295,Places of Worship
30,Holy Trinity,Church,,,-37.81406671,144.9831973,Places of Worship
31,St Johns Lutheran Church,Church,,,-37.82093997,144.9671211,Places of Worship
32,North Melbourne Uniting,Church,,,-37.80355385,144.9476715,Places of Worship
33,Melbourne Unitarian Church,Church,,,-37.81144878,144.9846649,Places of Worship
34,All Nations Uniting Church,Church,,,-37.79591553,144.9689811,Places of Worship
35,Our Lady of Lebanon Church,Church,,,-37.80257665,144.9693347,Places of Worship
36,St Michaels,Church,,,-37.79405127,144.9453995,Places of Worship
37,Ukranian Catholic Cathedral,Church,,,-37.79630846,144.9443135,Places of Worship
38,St Alban Anglican Church,Church,,,-37.79421695,144.9416145,Places of Worship
39,Christ Church Kensington,Church,,,-37.79321095,144.9272957,Places of Worship
40,Holy Rosary,Church,,,-37.79480874,144.9283621,Places of Worship
41,Collins Street Baptist Church,Church,,,-37.81470119,144.9680725,Places of Worship
42,St Thomas Aquinas Church,Church,,,-37.83530769,144.9768091,Places of Worship
43,South Yarra Presbyterian Church,Church,,,-37.84074736,144.985627,Places of Worship
44,The Parish of Christ Church South Yarra,Church,,,-37.83862705,144.9860094,Places of Worship
45,St Patricks Cathedral,Church,,,-37.8101141,144.9759015,Places of Worship
46,St Pauls Cathedral,Church,,,-37.8169549,144.9676816,Places of Worship
47,East Melbourne Synagogue,Synagogue,,,-37.80911373,144.9742219,Places of Worship
48,State Netball Hockey Centre,Major Sports & Recreation Facility,,,-37.785786,144.947581,Sports
49,Carlton Football Club,Major Sports & Recreation Facility,,,-37.78408644,144.9619678,Sports
50,Visy Park,Major Sports & Recreation Facility,,,-37.78343039,144.9619826,Sports
51,Flemington Racecourse,Major Sports & Recreation Facility,,,-37.79080826,144.912143,Sports
52,Melbourne Cricket Ground (MCG),Major Sports & Recreation Facility,,,-37.81949216,144.9834029,Sports
53,AAMI Park,Major Sports & Recreation Facility,,,-37.82472527,144.983803,Sports
54,Rod Laver Arena,Major Sports & Recreation Facility,,,-37.82204561,144.9784872,Sports
55,Melbourne Park,Major Sports & Recreation Facility,,,-37.8209086,144.9787358,Sports
56,Margaret Court Arena,Major Sports & Recreation Facility,,,-37.82132521,144.9775911,Sports
57,Hisense Arena,Major Sports & Recreation Facility,,,-37.82311,144.9818348,Sports
58,North Melbourne Recreation Centre (Aquatic),Major Sports & Recreation Facility,,,-37.799947,144.9432908,Sports
59,City Baths,Major Sports & Recreation Facility,,,-37.80715854,144.9631898,Sports
60,Westpac Centre,Major Sports & Recreation Facility,,,-37.82424569,144.9797203,Sports
61,Etihad Stadium,Major Sports & Recreation Facility,,,-37.81617605,144.9474963,Sports
62,Royal Park Golf Course,Private Sports Club/Facility,,,-37.78191713,144.9563091,Sports
63,Melbourne International Shooting Club,Private Sports Club/Facility,,,-37.82928449,144.9134158,Sports
64,Coles Fountain,Memorial Fountain - Arts & History,,,-37.80977064,144.973484,Public Memorials & Sculptures
65,South African War Memorial (Memorial to Fallen Soldiers),Memorial Sculpture - Arts & History,,,-37.82594145,144.9718568,Public Memorials & Sculptures
66,World War 1 Memorial,Memorial Sculpture - Arts & History,,,-37.79155022,144.9580865,Public Memorials & Sculptures
67,Sir Edward 'Weary' Dunlop,Memorial Sculpture - Arts & History,,,-37.8253098,144.9715943,Public Memorials & Sculptures
68,Zoo Paving,Paving - Arts & History,,,-37.78256132,144.9532939,Public Memorials & Sculptures
69,Black Swan Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.81957057,144.9718244,Public Memorials & Sculptures
70,Burke & Wills Cairn,Cairn - Arts & History,,,-37.78892812,144.9560581,Public Memorials & Sculptures
71,William Ievers (Jnr) Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.79825783,144.9705646,Public Memorials & Sculptures
